ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_SimulacionBlockout_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_SimulacionBlockout_Medicina_A.SM_SimulacionBlockout_Medicina_A
SM_SimulationBed_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_SimulationBed_Medicina_A.SM_SimulationBed_Medicina_A
SM_Bench_PlazaCentral_A.fbx | Plaza | /Game/Modelos3D/Plaza/SM_Bench_PlazaCentral_A.SM_Bench_PlazaCentral_A
SM_Flashlight_Plaza_A.fbx | Plaza | /Game/Modelos3D/Plaza/SM_Flashlight_Plaza_A.SM_Flashlight_Plaza_A
SM_Fountain_PlazaCentral_A.fbx | Plaza | /Game/Modelos3D/Plaza/SM_Fountain_PlazaCentral_A.SM_Fountain_PlazaCentral_A
SM_Lamppost_PlazaCentral_A.fbx | Plaza | /Game/Modelos3D/Plaza/SM_Lamppost_PlazaCentral_A.SM_Lamppost_PlazaCentral_A
SM_PlazaFloorBlockout_A.fbx | Plaza | /Game/Modelos3D/Plaza/SM_PlazaFloorBlockout_A.SM_PlazaFloorBlockout_A
SM_ArchivoBlockout_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_ArchivoBlockout_Psicologia_A.SM_ArchivoBlockout_Psicologia_A
SM_CamaraGesellBlockout_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_CamaraGesellBlockout_Psicologia_A.SM_CamaraGesellBlockout_Psicologia_A
SM_EntrevistasBlockout_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_EntrevistasBlockout_Psicologia_A.SM_EntrevistasBlockout_Psicologia_A
SM_InterviewTable_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_InterviewTable_Psicologia_A.SM_InterviewTable_Psicologia_A
SM_OneWayMirror_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_OneWayMirror_Psicologia_A.SM_OneWayMirror_Psicologia_A
SM_PercepcionBlockout_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_PercepcionBlockout_Psicologia_A.SM_PercepcionBlockout_Psicologia_A
SM_ReactionTestStation_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_ReactionTestStation_Psicologia_A.SM_ReactionTestStation_Psicologia_A
SM_RecordingCamera_Psicologia_A.fbx | Psicologia | /Game/Modelos3D/Psicologia/SM_RecordingCamera_Psicologia_A.SM_RecordingCamera_Psicologia_A
SM_CableBundle_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_CableBundle_Rectoria_A.SM_CableBundle_Rectoria_A
SM_NucleoBlockout_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_NucleoBlockout_Rectoria_A.SM_NucleoBlockout_Rectoria_A
SM_ProtectionConsole_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_ProtectionConsole_Rectoria_A.SM_ProtectionConsole_Rectoria_A
SM_SensorRing_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_SensorRing_Rectoria_A.SM_SensorRing_Rectoria_A
SM_Terminal_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_Terminal_Rectoria_A.SM_Terminal_Rectoria_A
SM_TorreBlockout_Rectoria_A.fbx | Rectoria | /Game/Modelos3D/Rectoria/SM_TorreBlockout_Rectoria_A.SM_TorreBlockout_Rectoria_A
SM_BathroomSet_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_BathroomSet_Residencias_A.SM_BathroomSet_Residencias_A
SM_Bed_Individual_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_Bed_Individual_Residencias_A.SM_Bed_Individual_Residencias_A
SM_CocinaBlockout_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_CocinaBlockout_Residencias_A.SM_CocinaBlockout_Residencias_A
SM_DoorNameplate_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_DoorNameplate_Residencias_A.SM_DoorNameplate_Residencias_A
SM_FountainResidencial_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_FountainResidencial_A.SM_FountainResidencial_A
SM_HabitacionDobleBlockout_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_HabitacionDobleBlockout_Residencias_A.SM_HabitacionDobleBlockout_Residencias_A
SM_HabitacionIndividualBlockout_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_HabitacionIndividualBlockout_Residencias_A.SM_HabitacionIndividualBlockout_Residencias_A
SM_KitchenCounter_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_KitchenCounter_Residencias_A.SM_KitchenCounter_Residencias_A
SM_LavanderiaBlockout_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_LavanderiaBlockout_Residencias_A.SM_LavanderiaBlockout_Residencias_A
SM_Nightstand_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_Nightstand_Residencias_A.SM_Nightstand_Residencias_A
SM_OverheadCabinet_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_OverheadCabinet_Residencias_A.SM_OverheadCabinet_Residencias_A
SM_SalaBlockout_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_SalaBlockout_Residencias_A.SM_SalaBlockout_Residencias_A
SM_Sofa_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_Sofa_Residencias_A.SM_Sofa_Residencias_A
SM_StudyDesk_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_StudyDesk_Residencias_A.SM_StudyDesk_Residencias_A
SM_Wardrobe_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_Wardrobe_Residencias_A.SM_Wardrobe_Residencias_A
SM_WashingMachine_Residencias_A.fbx | Residencias | /Game/Modelos3D/Residencias/SM_WashingMachine_Residencias_A.SM_WashingMachine_Residencias_A
SM_BodegaBlockout_Soda_A.fbx | Soda | /Game/Modelos3D/Soda/SM_BodegaBlockout_Soda_A.SM_BodegaBlockout_Soda_A
SM_CocinaBlockout_Soda_A.fbx | Soda | /Game/Modelos3D/Soda/SM_CocinaBlockout_Soda_A.SM_CocinaBlockout_Soda_A
SM_ComedorBlockout_Soda_A.fbx | Soda | /Game/Modelos3D/Soda/SM_ComedorBlockout_Soda_A.SM_ComedorBlockout_Soda_A
SM_IndustrialKitchenCounter_Soda_A.fbx | Soda | /Game/Modelos3D/Soda/SM_IndustrialKitchenCounter_Soda_A.SM_IndustrialKitchenCounter_Soda_A

FALLIDOS (0):
